algoritimo,projeto,mean_acc,mean_gmean,mean_kappa,std_acc,std_gmean,std_kappa,mean_time,seed
KUE,hive,0.6259509996765545,0.545212528567052,0.12951564273798907,0.1470381054653502,0.23503478937060746,0.08782890282787717,0.001683275000004869,622958002
KUE,hadoop-hdfs,0.6925345475137976,0.4841768037929431,0.4841768037929431,0.11612110182075293,0.36557289163995194,0.36557289163995194,0.001465152999998054,925999827
KUE,hadoop-mapreduce,0.5870291928808313,0.10981547661576936,0.10981547661576936,0.15817448994191813,0.20517410472404354,0.20517410472404354,0.0012372380000016392,903491287
KUE,cassandra,0.7273512271142768,0.564239892787774,0.25529505130086977,0.05566440993889627,0.22090965680055652,0.1232191380480124,0.001841362000007507,468809824
KUE,flink,0.8206019612470984,0.45583517020385095,0.24983013525036604,0.11309042979064486,0.25950521770932494,0.165800131117399,0.001889640000001691,109810543
KUE,spark,0.5371003481832026,0.08702162344090004,0.008421566668290989,0.11674622354824643,0.13372806747490085,0.048579177902824025,0.001196397999990495,632435325
KUE,kafka,0.4882883258064485,0.3037964774702613,0.03923472717010109,0.14348548712397413,0.26904860941154735,0.04665152066161197,0.0012957960000079538,415052581
KUE,zeppelin,0.6569986712970365,0.11392470020339976,0.1484454262190214,0.16718240445445834,0.17495937895894006,0.22251936676986467,0.0012596299999927396,747035843
KUE,ignite,0.8584156319608814,0.4140716136706517,0.4805924436915551,0.07505022434667108,0.25756742494297513,0.2710142265691326,0.0019426639999977624,545407752
ROSE,groovy,0.8331538858409129,0.5351546469250539,0.2644329645484466,0.0536372589930172,0.18205172331694702,0.14118572013198058,0.001959925999997836,731906967
ROSE,activemq,0.8383405009268973,0.6122645900398728,0.33255003511606296,0.053105948289950744,0.20430071405503286,0.17289449338368743,0.0017535709999947358,544503279
ROSE,camel,0.8607790148668466,0.5879381014570234,0.33454560276441186,0.06033620915794079,0.0748139356962655,0.06385669326417258,0.0029855900000015367,419059821
ROSE,hbase,0.7613248745418331,0.7313529436431816,0.46866319015842767,0.02650729001338165,0.08330310989311478,0.09753047471541838,0.0020817679999964867,892864591
ROSE,zookeeper,0.7044634183508127,0.668359182957175,0.4357888832721452,0.04090193702085846,0.08847312337986922,0.06727015755228546,0.001297030000003474,786585589
